"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"BGR";"Bulgaria";"2020";"4189.01";"8527.82";"11256.39";"13404.72";"15776.85";"18283.24";"21483.36";"26429.01";"34127.22";"70313.26"
"BHR";"Bahrain";"2020";"11141.46";"16787.92";"21753.18";"26771.19";"32046.84";"37799.53";"44301.32";"52490.08";"65235.01";"106479.25"
"BHS";"Bahamas, The";"2020";"3429.11";"7506.98";"10719.84";"13901.82";"17917.9";"22644.51";"28452.38";"36021.15";"49521.36";"118350.79"
"BIH";"Bosnia and Herzegovina";"2020";"3044.51";"5944.04";"7886.73";"9582.95";"11322.67";"13221.87";"15541.49";"18397.53";"22862.81";"37287.98"
"BLR";"Belarus";"2020";"6730.51";"9719.71";"11860.35";"13788.87";"15717.38";"17896.6";"20326.53";"23624.28";"28676.99";"43526.54"
"BLZ";"Belize";"2020";"569.79";"1396.12";"2081.4";"2626.24";"3269.02";"4077.09";"5179.01";"6703.33";"9335.69";"25980.75"
"BMU";"Bermuda";"2020";"14275.2";"26852.46";"35622.12";"44225.74";"53578.11";"64301.88";"77499.34";"95143.45";"123301.38";"231465.58"
"BOL";"Bolivia";"2020";"947.89";"2289.33";"3235.88";"4182.97";"5130.05";"6234.99";"7734.54";"9786.57";"13338.14";"25571.35"
"BRA";"Brazil";"2020";"1072.5";"3366.76";"5139.98";"6730.76";"8433.36";"11096.02";"12613.43";"16232.27";"22722.27";"53232.46"
"BRB";"Barbados";"2020";"644.82";"2414.77";"3729.61";"4993.89";"6359.31";"8091.36";"10278.56";"13805.89";"19735.34";"56500.47"
"BRN";"Brunei";"2020";"23575.59";"32120.18";"38606.58";"44594.03";"51579.39";"58377.65";"65861.96";"76152.89";"93179.7";"137960.85"
"BTN";"Bhutan";"2020";"1151.61";"2588.47";"3560.47";"4659.25";"5895.37";"7437.89";"9603.75";"12762.75";"18246.08";"39608.88"
"BWA";"Botswana";"2020";"1673.55";"2710.26";"3584.06";"4709.63";"6220.27";"8382.55";"11389.01";"16498.52";"25710.43";"65668.24"
"CAF";"Central African Republic";"2020";"20.43";"88.01";"178.81";"268.67";"352.06";"466.01";"638.33";"896.82";"1376.72";"5077.01"
"CAN";"Canada";"2020";"12629.78";"21068.6";"26526.97";"31391.77";"36210.69";"41809.8";"48602.17";"56863.17";"69897.18";"114001.7"
"CHE";"Switzerland";"2020";"19951.74";"31289.02";"38642.02";"45792.86";"53631.27";"61607.21";"70752.03";"83816.06";"103343.34";"178702.16"
"CHL";"Chile";"2020";"2507.97";"6467.33";"8701.55";"10726.51";"13195.32";"16106.36";"19714.52";"25747.68";"37464.13";"92613.88"
"CHN";"China";"2020";"2742.99";"5043.34";"6574.39";"8470.04";"10431.69";"13179.29";"16586.24";"21171.66";"27965.43";"50993.09"
"CIV";"Cote d'Ivoire";"2020";"591.03";"1046.84";"1492.2";"1932.61";"2554.36";"3186.47";"4025.84";"5393.69";"8025.76";"23564.32"
"CMR";"Cameroon";"2020";"157.69";"531.74";"872.78";"1239.49";"1712.56";"2247.96";"2948.38";"3967.85";"5918.77";"17066.89"
"COD";"Congo, Democratic Republic of the";"2020";"90.92";"200.23";"308.47";"423.19";"528.18";"678.63";"894.01";"1206.81";"1745.81";"4748.21"
